,Article
5869,"Kerem ilk doğduğunda dışarı çıkmak kabusum oldu. 3. Kattaki evimizden çıkıp bebek arabasıyla kaldırımı olmayan Üsküdar yollarında, sürekli yardım isteye isteye otobüslere binip çalışmayan asansörlerin karşısında kalakalmaktansa (Bu konuda da blogta şöyle güzel bir yazı var bu arada: http://recel-blog.com/0-2-yas-grubu-bebekle-tasit-rehberi-istanbul-bursa/) dışarı çıkmazdım daha iyiydi. Biraz da öyle oldu zaten başta, dışarı atılan her adım sınavdı resmen. Sonra sağolsun bir arkadaşım da ilk aparatımızı hediye etti bize, 3. Aydan itibaren de kanguruya geçtik. Bebekle tek başına istediğin yere istediğin zaman, birilerinden yardım dilenmeden, yorgunluktan ölmeden gitmenin özgürlüğünü tattım o zaman bu zaman."
5870,"Kanguruyu aldıktan sonra çok güzel kadınlarla tanıştım. Çocukları dışarı çıkmanın yollarını ararken bu kanguruları Türkiye’ye getiren, insanlara ulaştırmak için çabalayan kadınları gördüm, hayran kaldım. Dışarıdan bakınca çok basit görünüyor evet, ama kendi kendine dışarı çıkmak kadar özgürleştirici bir şeyi hayatımda tecrübe etmemişim gibi hissettim o zamandan beri. Oğlum 18 aylık ve hala üstüme giyip çıkıyorum beyfendiyi. Herkese de tavsiye ediyorum. Babywearing haftamız kutlu olsun kısacası :)"
5871,"Önyargılarla uğraşmadan, rahatlıkla gitarımızı çalacağımız, tekwando yapacağımız, bebek pışpışlayacağımız, onlarla istediğimiz yere rahatça gideceğimiz günlerimiz olsun."
5872,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
5873,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
5874,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
5875,Yazar: Büşra
5876,
5877,"Görsel: 3 Women, Danielle Weil "
5878,“Can güvenliğimiz yok burada. Her zaman olduğu gibi kadın suçlu bulundu. Yurt müdürümüz “Acaba ne yaptı da kız kaçırıldı?” dedi. Görevliler üzerine düşeni yapmadı.”
5879, “Bir haftada iki kız kaçırıldı. Bu yol hiç tekin değil. Yurt önüne saat başı araç gelecek dediler ama hiçbiri yapılmadı. Bizim bu yurtta can güvenliğimiz yok.”
5880,“Yolda yürürken önümü –inşaat işçileri- kestiler. İki tane adam alkol almışlar önümü kesiyor. Yurt yönetiminin bunlardan hiç haberi yok.” 
5881, 
5882,"KYK’ya ait Zonguldak Nesibe Hatun Kız Yurdu’nda üç gün içinde 2 kadın öğrenci kaçırıldığı haberlerini okuyorum, yukarıdaki alıntılar da olaya sessiz kalamayan öğrencilere ait. Yurt müdürünün “Kaçırılma değil, erkek arkadaşıymış…” lafları (çünkü o kaçırılma eyleminin o yurdun önünde gerçekleşebiliyor olmasının anlamı yok?), her gün gece ya da gündüz saatlerinde tacize uğrayan öğrenciler, bir sürü ihmaller ve belki sokağa her çıkışlarında yaşadıkları gerginlik…  "
5883, 
5884,Biz aslında çok aynı bir haberi Kasım 2014’te de yapmışız: Link   *
5885, 
5886,"*Sonrasında Şehir Üniversitesi yurdu değiştirilse de, 29 Mayıs öğrencileri o yurtta yaşamaya devam etmek mi zorunda kaldılar, bekledikleri talep ettikleri önlemler alındı mı bilmiyorum. "
5887,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
5888,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
5889,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
5890,Yazar: Reçel Blog
5891,
5892,"#TubanınSesiOlalım diye söylediklerini paylaşıyor, iyi hâl indirimi değil; gerçek adalet istiyoruz: "
5893, 
5894,“Adım Tuba Korkmaz. Eskişehir’de bir seramik fabrikasında müdür yardımcısına denk pozisyonda çalışan bir tasarımcıyım. Size “Bu benim başıma gelmez!” dediğim ama gelen bir felaketi anlatacağım…
5895,"30 yaşında anne olduğumda, doktora derslerimi bitirip tez aşamasına geçmiş, kendi küçük atölyemde sanat yaparak ayakta kalmaya çalışan bir kadındım. Kızımın ‘goldenhar sendromu’ olduğunu o bebekken öğrendim. İlk ameliyatını 8 aylıkken oldu."
5896,"Ve Özüm, 1 yaşındayken, ben artık bekâr bir anneydim. 2 yaşında, ikinci ameliyatını oldu. İkisi de birbirinden zor ameliyatlar. Daha başka ameliyatlar da olacak. Boşanınca ve atölye işleri hastane işleriyle karışınca, anladım ki bordrolu bir iş lazım bana…"
5897,"Buldum, Çanakkale’den Eskişehir’e taşındık. Ve yepyeni bir hayat kurduk birlikte!"
5898,"Kızımın hastalığı, benim sevgiyle kabullendiğim gerçeğimdi. Göğsümü gere gere taşıdım… Derken 8 ay önce aşık oldum… Aşk nağmeleriyle başlayan ilişki, klasik kıskançlık hikayeleriyle 6 ay sonra trajediye döndü. “Yakanı ört!”ler, “Kiminle konuşuyorsun?”lar, telefon kontrol etmeler derken, ben, ben olmaktan çıktım. “Bitti!” dedim…"
5899,"Ve sonrasında, iki ay boyunca ne o.puluğum kaldı, ne onla bunla yatmadığım… Bir gün en kötü kadın ben oluyordum, bir gün evlenmek istediği aşık olduğu kadın…"
5900,"Sonra yollarım kesilmeye başladı, takip edilmeler, 2 ayın sonunda “Nasıl yani?! Beni istemiyor musun? Peki, o halde, olacaklara razı ol!” dediği vakit, korktum. Çok korktum hem de…"
5901,Ama bu kadarını düşünemiyordum bile…
5902,"Kızımın ilk karnesini alacağı günün sabahı… Evden neşeyle çıktım. Tuhaf bir huzur vardı güneşte, ışıl ışıl. Sonra birden arkamdan gelen bir koşma sesiyle, birinin bana çarpması bir oldu, eski sevgilim olduğunu fark ettim…"
5903,Çığlık attım ve güreşme faslı…
5904,"Bu arada, elinde gördüğüm hastane mavisi büyük boy falçatayı tutmaya çalışıyorum…"
5905,"Bağırıyorum avazım çıktığı kadar, her darbeyi hissediyorum, akciğerimin söndüğünün sesini duyuyorum, acı yok, ağrı yok, sadece çığlık atabiliyorum ve hırıltılı…"
5906,"“Nefesim” dediğim adam, üstümde beni bıçaklarken, nefes almakta zorlanıyorum…"
5907,"O anda camdan biri, bir kadın, “Ambulans ister misiniz?” diye sesleniyor.”Kurtarın beni!” diyorum, bağırmayı bırakıp…"
5908,"İşte o zaman, işin rengi değişiyor. Üstümden kalkıyor, ayakkabısının tekini bırakıp kaçmaya başlıyor. Telefonumu alıyorum, gayriihtiyari son çevirdiğim numarayı arıyorum, “Bıçaklandım!” diyorum. Sonra 155’i çeviriyorum ama sokak adını bilmiyorum ki nasıl tarif edeyim, 112 de olmaz. Müdürümü arıyorum. Olaylardan haberdar…"
5909,"Fakat ben müdürümle konuşamadan, arkamdan tekrar geliyor ve gırtlağımı kesiyor… Resmen kesti! İnanılır gibi değil ama yaptı!!! Aynen filmlerdeki gibi…"
5910,Yavaşça asfalta uzanıyorum…
5911,"Kızım 2 gün önce sormuştu, “Pisi pisine ölmek nedir diye?” “Yo!” diyorum, “Yo olamaz, kızımın ilk karne günü, annem pisi pisine öldü dedirtemem!” Bilincimi açık tutmaya çalışıyorum. Ellerim yaralarımda, kendimce pansuman yapıyorum. Etrafa bakıyorum. Telefonum, onun tek ayakkabısı, kendi kanım ayaklarıma kadar uzanmış, kulaklığım da kan olmuş. O sırada doktor geliyor, beni yan çeviriyor, bir kadın, başımda kan içindeki ellerimi tutuyor, müdürümün eşi başıma çömelmiş, “O mu yaptı sana bunu?” diyor, müdürümle göz göze geliyoruz, hava berrak, sakin, aldığım nefes yetmiyor sanki, boğuluyorum…"
5912,Ambulans sesi…
5913,"Acile girdik, ben nefes alamıyorum. “Penisilin alerjim var!” diyorum. “Ölmemem lazım, kızım var benim!” diyorum, “Kızımın tedavisini ben takip ediyorum” diyorum. Kasığımdan kateder girdi. Acı yok! Sadece kontrolsüzce bacaklarım sallanıyor, Kurban Bayramı’nda kesilen koyunlara benziyorum. “Nefes… Nefes… Nefes…” derken uyutuluyorum."
5914,"Uyandığımda çok ağrım var, her yanımda tüpler. Korkuyorum, tekrar dönüp gelecek diye…"
5915,"12 gün geçmişti ama hâlâ hastanedeydim. Çünkü arkadan geldiğinde, soktuğu falçata, 5 cm derinliğe girmiş ve çevirdiği için karaciğerimi, pankreasımı ve diyaframımı dağıtmış…"
5916,"Hâlâ lıkır lıkır su içemiyorum çünkü soluk borumun üçte ikisini kesmiş. Hala öksüremiyorum, iç çekemiyorum, esneyemiyorum…"
5917,"İçimi acıtan ise, onun yalan dolu ifadesiyle, giyeceği takım elbise ve ‘efendi’ duruşuyla, “iyi hal indirimi” alma ihtimali…"
5918,"Hâlâ annesinin babama, “Kızınız da oğlumu evine almasaydı!” demesi…"
5919,Hâlâ olayın içinde benim ‘namus’umun sorgulanması…
5920,"Bu nasıl bir mantıktır! Herhangi birini değil, evlenmek istediğim sevgilim olan adamı evime almışsam, ölmeyi mi hak ediyorum? Aldatmadığım ve tüm sadakatimle bağlı kaldığım ama bana yaşam alanı bırakmayan adama, “Bu ilişkiyi istemiyorum artık!” dediysem öldürülmeyi mi hak ediyorum? Duygusal ve fiziksel şiddete maruz kalmış biri olarak, tüm yaşamımı değiştirecek bir dönüm noktasındayım."
5921,Geçenlerde linked-in’den profilinize bakanlar listesinde adını gördüm: Fatih Sağır!!!
5922,Beni öldürmeye çalışan…
5923,Boğazımı kesen adamı…
5924,Beni hep takip mi edecek?
5925,"Korkuyorum. Ve uyuyamıyorum. Yarın büyük gün. İlk duruşma! N’olur benim sesim olun, bana destek olun… Beni 12 gün hastanede tutan o falçata, onun yaralarına dikiş bile attırmadı…"
5926,Bense şans eseri hayattayım!’’
5927,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
5928,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
5929,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
5930,Yazar: Meryem Selva
5931, 
5932,
5933,Bu hafta Facebook’ta milli sporcumuz Kübra Dağlı’nın şampiyonluğunu kutlayan paylaşımlar vardı. Gururlandık yalan değil. Ama normalde asla paylaşmaz diye düşündüğüm radikal İslamcı bazı tanıdıklarımın da paylaştığını görünce haberin kaynağına doğru kısa bir sörf yaptım. Yeni Akit gazetesi haberi şampiyonluk gösterisinin videosuyla yayımlamıştı. Gösteriyi izlemeye başladım. Gerçekten iyiydi. Gösterinin sonuna gelemeden yorumları okumaya başladım;
5934," “Spor gerekli, şampiyonluk harika, son sarılma hoş değil tesettürlü olduğundan, Türkiye’min başarısını ayrıca kutlarım” "
5935, “Tesettür mü var nerede? Ağlanacak halimize gülelim. Spora devam”
5936," “Şampiyonluk güzel, ama bayan kapalı, sevinç hareketleri giyimine ters, erkek eşi olsa sorun değil, ama bu şekilde olması yakışmamış”"
5937, “Sarılmaları dışında güzel. Onun da cezasını ben verecek değilim”
5938, “Damarlarında Türk kanı dolaşıyor maaşallah”
5939," “Tam başörtüsü özgürlüğünü kazandık derken, örtünün altındaki başları kaybettik”"
5940," “Feto’nun zararlı müslümanım diyen, içi boş İslâm’a inananlarla gurur duyuyor, saçıma bakamazsın ama pantalon giyerim, spor yaparım bütün erkekler görür beni, ama ben müslümanım kimse benim inancımı sorgulayamaz demek bu”"
5941, “Akit de bunu güzel birşeymiş gibi sunuyor ya şaşıyorum. Size Sahabe İbni Mektun hadisini hatırlatırım. Sorarım size bu durumun şerefsiz FETÖ’nün Türkçe Olimpiyatlarından ne farkı var?”
5942," “Oo ne güzel yapmışlar, tebrikler, cihat dediğin böyle olur. Hatta cihattan sonra kız elin adamına sarılıyor. Tamam, ümmet rahata erdi dağılabilirsiniz.”"
5943, “Akit ne yapıyorsun kendine gel”
5944, “Akit iğrençsiniz. Gençleri zehirlemeye devam edin. Ama Allah Fetö’yü zelil ettiği gibi sizi de eder.”
5945, “Erkekleşen kadınlara lanet olsun”
5946, “Bu bayana tesettürlü demeyelim. Tesettürün sınırları ayetle sabittir.”
5947, “Bari dudak dudağa öpüşseydiniz”
5948, “Başarıya karşı değilim ama ya aç başını öyle yap ya başındakinin bilincinde olarak yap”
5949, “Resmen din adına bir sıfır daha yenilmişiz. Yanlış anlamayın spora karşı değilim”
5950, “…Aralarında duygusal bir bağ varsa diyecek birşey yok”
5951," “Hz. Fatıma’ları, Ayşe’leri, Sümeyye’leri okuyun. Bu kız şimdi hizmet mi etti eziyet mi yaptı?”"
5952, “Türkçe olimpiyatları için de İslâm’a hizmet demişti Fetö sağolsun. Gerçek hoca olan Cübbeli Ahmet (akşam oldu gene hüzünlendim ben yine aşık oldum gözlerinin rengine Allah aşkına bunun İslâm’a ne faydası var de hele?) bu da misal faydasını deyin bakalım.”
5953,Ben yorumlara dalınca video sonunu izleyemeden bitti. Yorum sizin. 
5954, 
5955,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
5956,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
5957,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
5958,"Bugün Rastladıklarımızdan 
"
5959,“Bizi camiden iteleye öteleye yine bizimçün caminin yanına dükkandan bozma ‘bayan mescid’ yapmışlar. Aro :/” 
5960,Dipnot: Caminin bir kısmı tadilatta ama yine de erkekler caminin içindeki yerde kılıyorlar. 
5961,*Hüdanur Vatan Caddesi – Molla Fenari İsa Camii’nden bildirdi. 
5962,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
5963,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
5964,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
5965, 
5966,
5967,Konuk Yazar: rumeysa balcı
5968,Sıklıkla hepimizin karşılaştığı bir durumdur. 
5969,"Kadın kocasından şiddet görüyordur, adam karısının ilgisizliğinden, dağınıklığından, harcamalarından şikayetçidir, taraflardan biri diğerini aldatmıştır… Fakat buna rağmen boşanma gerçekleşmez ve ardından hep o klişe cümle duyulur: "
5970,“Çocuklarım için katlanıyorum.” 
5971,"Peki gerçekten çocukları için mi katlanıyordur bu ebeveynler birbirlerine? Yoksa bir yanılgıdan, kendini avutmaktan, kandırmaktan veya insanlara farklı birtakım izlenimler yaratmaya çalışmaktan mı ibarettir yalnızca? "
5972,"Evet, günümüzde boşanma olayları oldukça artmış, kadınların ekonomik özgürlüğüne de kavuşması gibi birtakım sebeplerle çiftlerin yolları daha kolay ayrılır hale gelmiştir. "
5973,Peki ya ayrılmayıp katlananlar? 
5974,"İlişkide sevgi ve saygı kalmamış, güvenin ise esamesi yok. Ama sırf çocuğun mutluluğu için, sırf çocuk aileden yoksun kalmasın diye, sırf o çocuğu annesiz ya da babasız büyütmemek uğruna, katlanılan bir evliliğin sağlıklı olduğunu kim iddia edebilir? "
5975,"Bu cümleyi daha çok kadınlardan duysak da her iki tarafın da dilinden hiç düşmez, çocuklar için katlanma bahanesi. "
5976,"Oysa özünde koca bir çıkmaz barındırır, bir evliliği bitirememenin adıdır katlanmak. "
5977,Cesaretsizliğin ve kabullenememişliğinin faturasını çocuğa kesmektir. 
5978,"Kadın dul kalmaktan korkar çocukları içindir, yalnızlıktan çekinir çocukları içindir, ekonomik özgürlüğü yoktur çocukları içindir. "
5979,"Tüm o dayağa, evlilik içi tecavüze, her türlü hakarete ve tacize rağmen çaresizlikleri vardır onların! Hem baba evinde sığıntı olmasından daha iyidir böyle bir ortamda yetişmesi çocuğun… "
5980,"Bazen durum öyle bir hal alır ki, katlanmayı daha kolay kılmak için olsa gerek(!) yeni bir çocuk daha getirilir dünyaya."
5981,"Evlilik iki kişinin arasında gerçekleşen bir bağ. Ve sevgi, güven, ilgi, fedakarlık gibi pek çok duyguya gereksinim duyar. Çocuğun da dünyaya gelmesiyle beraber aile onun düzgün bir birey olması yolunda özel çaba gösterir çünkü bu masum ve savunmasız varlığın anne-baba figüründen çok gerçek anne-babaya ihtiyacı vardır. Uçağa binenler bilir, herhangi bir kaza durumuna karşın oksijen maskesini önce kendinize sonra çocuğunuza takmanız gerekir. "
5982,"Yani çocuğun da mutlu olabilmesi için önce anne-babanın mutlu olması gerekir, çocuğun sağlıklı bir birey olabilmesi, sağlıklı ilişkiler kurabilmesi için önce ebeveynlerin iletişimlerinin sağlıklı olması gerekir. Evlilik mutsuzsa, evde kavga gürültü almış başını gidiyorsa, saygı yitirilmiş, iletişim kopmuşsa, gelişme aşamasında ve hayatında sevginin, mutluluğun, uzlaşma ve anlaşmanın olmadığı çocukların bu evlilikten psikolojik olarak sağlıklı çıkabileceğini kim iddia edebilir? "
5983,"Çocukları sağlıklı yetiştirecek olan ne yuvayı yapan dişi kuş, ne kutsal görülen evlilik, ne fedakar ve cefakar bir anne ne de çalışıp evinden ekmeği eksik etmeyen bir babadır. Çocukları psikolojik açıdan sağlıklı yetiştirecek olan yalnızca mutluluk, huzur ve güven dolu bir yuvadır. "
5984,"Kendimizi evliliğimize ve çocuklarımıza adamak farklıdır, feda etmek farklıdır. Sürekli tartışan eşleri aynı evde tutmak, defalarca sadakatsizlikle sarsılmış çiftleri ayırmamak, sevmediğimiz biriyle aynı çatı altında yaşamak kendimizi ailemize adamak değil kendimizi yok yere feda etmek anlamına gelir. Bunu yaparak oksijen maskesini önce çocuğumuza takmış ve kendimizi kaybetmiş oluruz. "
5985,Şimdi her fırsatta bu cümleyi kurmadan önce bir kere daha düşünün. 
5986,Evliliğe gerçekten siz mi katlanıyorsunuz yoksa aranızda oyuncak olmuş çocuklar mı?
5987,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
5988,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
5989,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
5990,
5991,Görsel: Shirin Neshat
5992,Konuk Yazar: Müberra
5993, 
5994,"Allah’ın yuvarlak olduğunu ilk düşündüğümde 6 yaşındaydım, sonsuzluktan çok korktuğumda 9. Her dindar aile çocuğu gibi, çocukluğum Kuran kursları, sohbetler, dini kitaplar, İslami okullar ile kuşatılmıştı. Erken yaşta örtündüm, namaza başladım, bolca takdir edildim. Derken bir şeyler değişti."
5995,"İçinde büyüdüğüm küçük çevreden ötesiyle muhatap oldukça kendi hayatımı daha az sever oldum. Önce namazları geciktirmeye, son ana bırakmaya başladım. Sonra sünnetler fazlalık gelmeye başladı namazlara. Onunla da kalmadı. Yılların Kuran kursu eğitimi var, abdestin de hangisi farzı hangisi sünneti biliyoruz sonuçta. Sonra farzlar hızlandı, jet imam tadında. En son kaçamaklar başladı elbet. Fakat annemden kaçmaz."
5996,"Annem hep dindarlığımızın kontrolörü oldu. Namazımızı kılmış mıyız, kıldıysak zamanında mı kılmışız, abdesti nasıl o kadar çabuk almışız; her defasında müfettiş gibi kontrole gelir sorardı. Kılmadık ya da geciktirdikse de ya azarlar ya da birini geciktirdiysek diğerini erken kılmanın gereğini vaaz ederdi. Öyle olunca da ben, annem namazı geç kıldığımı görecekse onun yerine hiç kılmaz, kıldım derdim. Ama annemden kaçar mı?"
5997,"Seccadelerin katlı durduğu çekmecemiz vardı. Biz namaz kılarken alır, bozarız; annem arkamızdan tezgahtar gibi her seferinde düzeltir."
5998,-İkindi namazını kıldın mı?
5999,-Kıldım.
6000,-Ama bu çekmece hiç değişmemiş!
6001,Ondan sonra günde 4 vakit çekmeceyi bozmaya başladım. Böylece de namazlarım kılınmış oldu. Sabah hariç elbet! Ona tüm aile birlikte kalkılırdı. Zor uyanmak azarlanma sebeplerinden bir diğeri. Böylelikle ben yıllarca günde tek vakit namaz kıldım. Niyet ettim annemin rızası için sabah namazını kılmaya.
6002,"Ben büyüdükçe bu gerilim gizlilikten çıktı. Bendeki değişim ailece fark edilmeye başlandı. Annem ben başörtümü çıkartırım diye korkuyordu, annem namazı bırakırım diye korkuyordu, annem dinsiz olurum diye korkuyordu, annem, annem, annem… Sonunda da olan oldu. İpler koptu. Ben dinden de annemden de uzaklaştım. Gündelik teftiş böylece bitti."
6003,"Uzunca hiç vicdan azabı çekmedim. Aksine rahatlık, hafiflik, huzur… Çok da iyi geldi bana bu uzaklık derken uzaklaştığım din tekrar çıktı karşıma. Bambaşka yüzlerini göstererek… Beni ağlatan, titreten, huzura erdiren… Yavaş yavaş içine çekildim onun. Fakat bu sefer istekle, bağlılıkla. Annem aradan çekildi, kaldık Allah’la baş başa."
6004,"Şimdi namaz tekrar girmişti hayatıma. Anlamını düşünerek okunmuş bir sureyle kılınmış namaz nasıl da başkaydı? Var mıydı camide cemaatle, uzun uzun, hissederek kılmak gibisi? Peki ya evde? Evde tekrar namaz kılsam, annem tekrar dönerdi müfettişliğe. Ben de sakladım. Evde oldukça kapıları kilitleyip alelacele kıldım çok namazı. Ama ev burası, kapı öyle lüzumsuz yere kilitlenirse teftiş başlamaz mı? Böylece bir çoğunu da hiç kılmadım. Şimdi tam aksi gibi 4 vakit dışarıda kılıp, sabah namazlarını kılmama vakti gelmişti. Fakat vicdan azabı yakamdaydı bu defa."
6005,"Bizden önceki nesil devletten korkar, gizli kılardı namazını; ben annemden korktum. Allah ile aramızda devlet memuru gibi annem… Allah’ın evimizdeki seçilmemiş gölgesi… Allah’tan mı korkmalı annemden mi korkmalı? Allah’ım, annemin rızası için kıldığım namazların sevabı ona yazılsın; kılmadıklarımın günahı bana mı yazılmalı?"
6006,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
6007,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
6008,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
6009,Konuk Yazar: Külkedisi Masallar Ülkesinden Bildirdi
6010,Görsel: Nooshin Ipaktchi
6011,"Erkekler, erkeklik kurumu kadınlardan şikayetçi.  Çünkü kadınlar -bir süreden beri- dengeyi sağlama gayretindeler ve bu onlar tarafından fazlasıyla yanlış yorumlanıyor. Bir kadının erkeğin hâkimiyetine, gücüne ihtiyaç duymadan yaşayabileceğinin farkına varmış olmalılar ki ayaklarını yerlere vura vura ağlayanlar olduğu kadar saldıranlar da mevcut. Üstelik bazıları neredeyse ışıklı, müzikli ana kucaklarından hınçlarını alacaklar…"
6012,"Erkekler zannediyor ki: “Kadın para kazanmaya başladı, gözü açıldı!” Ve artık erkeğine itaat etmemeye başladı."
6013,Erkekler zannediyor ki: “Bunun tek sorumlusu kapitalist düzen ve onun kadınları çalışmak zorunda bırakması!”
6014,"Erkekler zannediyor ki: “Kadın, kadınlığını bilmeli, erkeğin önüne yemek, beşiğe çocuk koymalı!”"
6015,"Erkek zannediyor ki, Kadın o çocuğu tek başına yaptı ve tüm zorluğu o tek başına üstlenmeli, üstüne üstlük gıkını çıkarmamalı, çocuk püripak ve aynı zamanda ağlamak yerine üç dil biliyor olmalı."
6016,"Çalışmayan yani aslında onların tam istediği gibi erkek eline bakan bir kadın olarak bunu sesimin çıktığı kadar çok söylemek istiyorum: Hayır, bunun, bugünümüzün tüm sorumlusu sizsiniz, bizi sokmak istediğiniz kafesler, bize karşı, ezmeye yönelik tavırlarınız!  Özellikle mütedeyyin olarak bilinen erkeklere karşı çok öfkeliyim, evlenirken Peygamber Efendimizin (S.A.V) hanımlarına karşı davranışlarını örnek gösterirken, evlendikten sonra koltuğuna yapışıp, kişisel temizliğine bile özen göstermeyen ve hatta amiyane bir tabirle göbeğini kaşıyan adam olduklarını gösteriyorlar. Örnek aldıkları, kendi söküğünü kendisi diken Peygamber’in kimseyi bu şekilde kandırdığını sanmıyorum…"
6017,"Siz nasıl ki geçmişe bakıyorsanız biz de bakıyoruz; tarlada doğuran, doğurduktan hemen sonra, kundaktaki bebesiyle yarım kalan işine devam eden, bu sırada erkeğin, ben çok yoruldum diyerek kahveye gitmesine gıkını çıkarmayan nenelerimizi görüyoruz; sırf evdeki boğaz sayısı nedeniyle istediği yemeği erkeğin tabağına bırakan genç kadınları görüyoruz, “erkek ya, beslenmesi lazım!” Sadece gelin olduğu için evde olan herkese hizmet etmekle sorumlu genç kadınları görüyoruz, o sırada damat bir köşede ağalık yaparken; öz amcasının, babasının, abisinin tacizine uğrayıp sırf kadın olduğu için, ona kimsenin inanmayacağını bildiği için hiçbir şey yokmuş gibi yapmaya çalışan, sonra da yavaş yavaş delirip kendini evin tek odasında asan genç kızları görüyoruz geçmişimizde. Yani sizin saydığınız gibi kadın para kazanmaya başladı, değişti, gözü açıldı değil, bu söylediklerimiz sadece bu zamana ait şeyler değil, biz geçmişten gelen acıları da sırtımızda taşıyoruz. Sonra neden  feminizm!"
